,linkSeq,linkID,offsetGroup,offsetSeq,offsetStart,offsetEnd,existStation,existSignal,signalOffset,signalGreenPhaseLength,siganlRedPhaseLength,isIntersection,existPedWalk,existOverpass,MaxSpeed,SignalGroup,SignalNumber,SignalName,,,,
22,4,2420034200,6,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
23,4,2420034200,6,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
24,4,2420034200,6,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
25,4,2420034200,6,4,17500,20600,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
26,5,2420034900,7,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
27,5,2420034900,7,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
28,5,2420034900,7,3,5000,8900,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,60,,,,,,,
29,6,2420036400,8,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
30,6,2420036400,8,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
31,6,2420036400,8,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
32,6,2420036400,8,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
33,6,2420036400,9,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
34,6,2420036400,9,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
35,6,2420036400,9,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
36,6,2420036400,9,4,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
37,7,2420042400,10,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
38,7,2420042400,10,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
39,7,2420042400,10,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
40,7,2420042400,10,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
41,7,2420042400,11,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
42,7,2420042400,11,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
43,7,2420042400,11,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
44,7,2420042400,11,4,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
45,7,2420042400,11,5,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
46,7,2420042400,11,6,22500,25400,FALSE,TRUE,34,35,105,FALSE,FALSE,FALSE,50,,,,,,,
47,8,2420048600,12,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
48,8,2420048600,12,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
49,8,2420048600,12,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
50,8,2420048600,12,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
51,8,2420048600,12,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
52,8,2420048600,12,6,12500,16400,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
53,9,2420055400,13,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
54,9,2420055400,13,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
55,9,2420055400,13,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
56,9,2420055400,13,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
57,9,2420055400,14,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
58,9,2420055400,14,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
59,9,2420055400,14,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
60,9,2420055400,14,4,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
61,9,2420055400,14,5,20000,22000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
62,10,2420059800,15,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
63,10,2420059800,15,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
64,10,2420059800,15,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
65,10,2420059800,15,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
66,10,2420059800,15,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
67,10,2420059800,15,6,12500,15700,FALSE,TRUE,58,31,149,FALSE,FALSE,FALSE,50,,,,,,,
68,11,9999999999,16,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
69,11,9999999999,16,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
70,11,9999999999,16,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
71,11,9999999999,16,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
72,11,9999999999,16,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
73,11,9999999999,16,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
74,11,9999999999,16,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
75,11,9999999999,16,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,50,,,,,,,
